,Location,PopTotal,PopDensity
180,Faroe Islands,49000.0,35.004
181,Fiji,896000.0,49.066
182,Finland,5541000.0,18.233
183,France,65274000.0,119.209
184,France (and dependencies),68148000.0,103.61399999999999
185,French Guiana,299000.0,3.634
186,French Polynesia,281000.0,76.75
187,Gabon,2226000.0,8.638
188,Gambia,2417000.0,238.801
189,Georgia,3989000.0,57.406000000000006
190,Germany,83784000.0,240.372
191,Ghana,31073000.0,136.56
192,Gibraltar,34000.0,3369.1
193,Greater Arab Free Trade Area (GAFTA),413978000.0,36.547
194,Greece,10423000.0,80.862
195,Greenland,57000.0,0.138
196,Grenada,113000.0,330.93800000000005
197,Group of 77 (G77),6135279000.0,82.60799999999999
198,Group of Eight (G8),918561000.0,25.225
199,Group of Seven (G7),772627000.0,38.559
200,Group of Twenty (G20) - member states,4653331000.0,61.602
201,Guadeloupe,400000.0,245.778
202,Guam,169000.0,312.561
203,Guatemala,17916000.0,167.185
204,Guinea,13133000.0,53.446000000000005
205,Guinea-Bissau,1968000.0,69.986
206,Gulf Cooperation Council (GCC),58664000.0,22.8
207,Guyana,787000.0,3.9960000000000004
208,Haiti,11403000.0,413.735
209,High-income countries,1263093000.0,33.339
210,Holy See,1000.0,1838.636
211,Honduras,9905000.0,88.521
212,Hungary,9660000.0,106.709
213,Iceland,341000.0,3.404
214,India,1380004000.0,464.149
215,Indonesia,273524000.0,150.987
216,Iran (Islamic Republic of),83993000.0,51.575
217,Iraq,40223000.0,92.61
218,Ireland,4938000.0,71.67699999999999
219,Isle of Man,85000.0,149.179
220,Israel,8656000.0,399.97900000000004
221,Italy,60462000.0,205.555
222,Jamaica,2961000.0,273.422
223,Japan,126476000.0,346.934
224,Jordan,10203000.0,114.926
225,Kazakhstan,18777000.0,6.955
226,Kenya,53771000.0,94.478
227,Kiribati,119000.0,147.464
228,Kuwait,4271000.0,239.65
229,Kyrgyzstan,6524000.0,34.016
230,LLDC: Africa,341389000.0,40.921
231,LLDC: Asia,166832000.0,25.063000000000002
232,LLDC: Europe,6117000.0,105.344
233,LLDC: Latin America,18806000.0,12.700999999999999
234,Land-locked Countries,595596000.0,34.69
235,Land-locked Countries (Others),62453000.0,98.906
236,Land-locked Developing Countries (LLDC),533143000.0,32.238
237,Lao People's Democratic Republic,7276000.0,31.523000000000003
238,Latin America and the Caribbean,653962000.0,32.472
239,Latin America and the Caribbean,653962000.0,32.472
240,Latin American Integration Association (ALADI),573659000.0,29.974
